Node name,Node pack name,Display Name,Simple Name,Long docstring,Short docstring,Tags,Icon
ColorMatchImage,ComfyUI-Image-Filters,Color Match Image,Image Color Harmonizer (Adv.),"The ColorMatchImage node is designed for advanced image processing, specifically focusing on matching the color distribution of one image to another. This process is essential for tasks that require the integration of images from different sources to ensure visual consistency across them. The node offers options for selecting the type and intensity of the blur applied during the color matching process, allowing for flexible adaptation to various image characteristics.",Match color distribution between images for consistency.,"['Image', 'Color and Channels', 'Color']",palette
LatentNormalizeShuffle,ComfyUI-Image-Filters,LatentNormalizeShuffle,Latent Optimizer,"This node is designed to normalize and shuffle the latent representations of images, ensuring they are prepared for further processing or generation tasks. It adjusts the latent vectors to have a standard distribution and rearranges them to introduce variability, optimizing the input for diverse image generation outcomes.",Normalize and shuffle image latent representations.,"['Diffusion', 'Latent', 'Latent']",camera-rotate
ClampOutliers,ComfyUI-Image-Filters,Clamp Outliers,Normalize Outliers,"The ClampOutliers node is designed to adjust the values of latent representations by clamping outliers based on a specified standard deviation threshold. This process aims to normalize the data, reducing the impact of extreme values on the overall distribution.",Clamp outliers based on standard deviation threshold.,"['Diffusion', 'Transformation and Normalization']",vials
GameOfLife,ComfyUI-Image-Filters,Game Of Life,Cellular Automaton Simulator,"The GameOfLife node simulates the Conway's Game of Life, a cellular automaton, over a specified number of steps. It evolves the state of a grid based on the rules of survival, death, and birth determined by the neighboring cells.",Simulate Conway's Game of Life evolution.,"['Data', 'Visualization', 'GridLayout']",braille
GuidedFilterImage,ComfyUI-Image-Filters,Guided Filter Image,Edge-Preserving Smoother,"The GuidedFilterImage node applies a guided filter to a batch of images using a guide image to enhance the output images' details while preserving edges. This process involves adjusting the images based on the spatial correlations indicated by the guide image, making it suitable for tasks like smoothing, detail enhancement, or noise reduction.",Apply guided filter to enhance image details.,"['Image', 'Visual Effects', 'ImageFilter']",shapes
BlurImageFast,ComfyUI-Image-Filters,Blur Image (Fast),Fast Gaussian Blur,"The BlurImageFast node provides a fast and efficient way to apply Gaussian blur to images. It is designed to blur images by specifying the radius of the blur in both the x and y directions, allowing for customizable blur effects.",Apply fast Gaussian blur to images.,"['Image', 'Visual Effects', 'Blur']",file-image
ImageConstantHSV,ComfyUI-Image-Filters,Image Constant Color (HSV),Generate Color Image,"The ImageConstantHSV node generates constant color images based on specified HSV (Hue, Saturation, Value) color values. It allows for the creation of uniform color images with adjustable color properties, enabling the generation of images with precise color tones.",Generate constant color images with adjustable HSV.,"['Image', 'Color and Channels']",square
ShuffleChannels,ComfyUI-Image-Filters,Shuffle Channels,Channel Shuffler,"The `ShuffleChannels` node is designed to manipulate the color channels of an image. It allows for the reassignment of color channels, including red, green, blue, and optionally alpha, to different color values or to a constant value. This functionality can be used to create various visual effects or to correct color channel misalignments in images.",Manipulate and reassign image color channels.,"['Image', 'Color and Channels']",palette
LatentStats,ComfyUI-Image-Filters,Latent Stats,Latent Space Analyzer,"The LatentStats node is designed to analyze and report statistics of latent representations in a neural network model. It calculates and prints various statistical measures such as mean, standard deviation, minimum, and maximum values for different components of the latent space, providing insights into the characteristics of the data being processed.",Analyze and report latent space statistics.,"['Diffusion', 'Latent', 'Latent']",magnifying-glass-chart
BetterFilmGrain,ComfyUI-Image-Filters,Better Film Grain,Film Grain Enhancer,"The BetterFilmGrain node enhances images by applying a customizable film grain effect, simulating the texture and appearance of traditional film photography. It allows for fine-tuning of the grain's scale, strength, saturation, and overall tone to achieve a desired aesthetic.",Apply customizable film grain effect to images.,"['Image', 'Visual Effects', 'VisualEffects']",photo-film
VisualizeLatents,ComfyUI-Image-Filters,Visualize Latents,Latent Space Visualizer,"The VisualizeLatents node transforms latent space representations into visualizable images, adjusting their mean and standard deviation for better visual interpretation. It organizes the visualized latents into a grid layout based on the square root of the number of channels, facilitating the examination of latent space features.",Transform latent representations into visualizable grid images.,"['Diffusion', 'Latent', 'Latent']",border-all
ConvertNormals,ComfyUI-Image-Filters,Convert Normals,Normal Map Converter,"The `ConvertNormals` node is designed to transform normal maps between different formats, adjust their scale, and optionally normalize or fill missing areas. It supports various input and output modes, allowing for flexible adaptation of normal maps to suit different rendering or processing requirements. This node is particularly useful in graphics and image processing pipelines where normal maps need to be converted or adjusted for specific uses.",Transform and adjust normal maps between formats.,"['Detectors', 'NormalMap', 'NormalMap']",cube
UnJitterImage,ComfyUI-Image-Filters,Un-Jitter Image,Stabilize Image,"The UnJitterImage node is designed to reverse or mitigate the effects of jittering on images. It utilizes a predefined matrix to adjust the positioning of pixels in an image, aiming to restore the original or a more stable visual representation.",Reverse or mitigate image jittering effects.,"['Image', 'Image Transformation and Manipulation', 'ImageTransformation']",camera-rotate
AlphaClean,ComfyUI-Image-Filters,Alpha Clean,Alpha Channel Enhancer,"The AlphaClean node is designed for image preprocessing, specifically targeting the enhancement and cleaning of image alpha channels. It employs techniques such as bilateral filtering, Gaussian blurring, and dynamic thresholding to refine the transparency and edges of images, making it particularly useful in graphics and image processing applications where precise alpha manipulation is required.",Enhance and clean image alpha channels.,"['Image', 'Image Preprocessing']",photo-film
FrequencyCombine,ComfyUI-Image-Filters,Frequency Combine,Texture Blender,"The FrequencyCombine node is designed to blend high and low-frequency image components using specified mathematical operations. It enables the enhancement or modification of images by combining frequency elements in unique ways, offering a method to manipulate image textures and details.",Blend image frequencies for texture manipulation.,"['Image', 'Image Transformation and Manipulation', 'ImageBlend']",vector-square
BatchNormalizeImage,ComfyUI-Image-Filters,Batch Normalize (Image),Image Batch Normalizer,"The BatchNormalizeImage node is designed to normalize a batch of images based on a given factor, adjusting each image's pixel values to have a standard deviation and mean that aligns more closely with the batch's overall characteristics. This process enhances the consistency of image data, making it more suitable for further processing or analysis.",Normalize batch of images for consistent processing.,"['Diffusion', 'Transformation and Normalization', 'Normalization']",photo-film
BatchNormalizeLatent,ComfyUI-Image-Filters,Batch Normalize (Latent),Latent Normalizer,"This node applies batch normalization to latent representations, adjusting each latent sample's distribution towards a standard distribution, thereby stabilizing and potentially improving the generative process.",Apply batch normalization to latent representations.,"['Diffusion', 'Latent', 'Latent']",filter
ExposureAdjust,ComfyUI-Image-Filters,Exposure Adjust,Exposure Tuner,"The ExposureAdjust node is designed to modify the exposure of images by adjusting their brightness levels. It supports different input and output color modes, and optionally applies tonemapping to adjust the dynamic range of the images.",Modify image exposure and dynamic range.,"['Image', 'Visual Effects', 'VisualEffects']",photo-film
InstructPixToPixConditioningAdvanced,ComfyUI-Image-Filters,InstructPixToPixConditioningAdvanced,Advanced Image Conditioning (Adv.),"This node is designed for advanced conditioning in Pix2Pix models, enabling the manipulation and transformation of image data through a sophisticated encoding process. It facilitates the integration of additional conditioning inputs and scales, allowing for more nuanced control over the generation process.",Manipulate and transform image data in Pix2Pix models.,"['Diffusion', 'Conditioning', 'Conditioning']",photo-film
BilateralFilterImage,ComfyUI-Image-Filters,Bilateral Filter Image,Smooth Edges Filter,"The BilateralFilterImage node applies a bilateral filter to images, a process that reduces noise while preserving edges. This technique is particularly useful for creating smoother images without blurring important features, making it ideal for enhancing image quality in a nuanced manner.","Apply bilateral filter to reduce noise, preserve edges.","['Image', 'Visual Effects', 'Blur']",diagram-predecessor
RestoreDetail,ComfyUI-Image-Filters,Restore Detail,Clarity Detail Restorer,"The RestoreDetail node is designed to enhance the visual quality of images by restoring details that may have been lost or obscured. It focuses on improving the clarity and sharpness of images, making them appear more vivid and lifelike.",Enhance image quality by restoring lost details.,"['Enhancers', 'DetailEnhancement']",file-image
Keyer,ComfyUI-Image-Filters,Keyer,Background Remover,"The Keyer node is designed for image processing, specifically to apply keying operations that selectively adjust the transparency of image areas based on color and brightness criteria. It allows for sophisticated manipulation of images, enabling the creation or modification of alpha channels to achieve effects like background removal or compositing.",Apply keying operations for selective transparency in images.,"['Image', 'Image Transformation and Manipulation']",spray-can-sparkles
MedianFilterImage,ComfyUI-Image-Filters,Median Filter Image,Image Smoother,"The MedianFilterImage node applies a median filter to a batch of images, smoothing them by replacing each pixel's value with the median value of the intensities in its neighborhood. This process is particularly effective at reducing salt-and-pepper noise while preserving edges, making it a valuable tool for image preprocessing and noise reduction.","Apply median filter to smooth images, reduce noise.","['Image', 'Visual Effects', 'Blur']",file-image
ImageConstant,ComfyUI-Image-Filters,Image Constant Color (RGB),Constant Color Image Generator,"The ImageConstant node is designed to generate images of a constant color. It allows for the specification of the color in RGB format, along with the image dimensions and batch size, enabling the creation of multiple images with the same color specifications in a single operation.",Generate constant color images in batch.,"['Image', 'Base', 'Image']",square
BlurMaskFast,ComfyUI-Image-Filters,Blur Mask (Fast),Fast Mask Blur,"The BlurMaskFast node is designed to apply a Gaussian blur to masks, allowing for the softening of edges and the creation of a smoother mask appearance. This operation is particularly useful in image processing tasks where the harshness of mask boundaries needs to be reduced.",Apply Gaussian blur to masks for smoother edges.,"['Segmentation', 'Masks', 'MaskBlur']",panorama
FrequencySeparate,ComfyUI-Image-Filters,Frequency Separate,Texture Detail Separator,"The FrequencySeparate node is designed for image processing, specifically to separate the high-frequency components from an image by either subtracting or dividing the low-frequency components. This operation is useful for tasks that require manipulation or analysis of an image's texture or fine details without affecting the overall structure.",Separate high-frequency components from images.,"['Image', 'Image Transformation and Manipulation', 'ImageSplitting']",file-image
RelightSimple,ComfyUI-Image-Filters,Relight (Simple),Dynamic Lighting Adjuster,"The RelightSimple node is designed to adjust the lighting of an image based on provided normal maps and directional light parameters. It allows for dynamic relighting effects, simulating different lighting conditions by altering the direction and brightness of the light source.",Adjust lighting using normal maps and light parameters.,"['Image', 'Visual Effects', 'VisualEffects']",camera-retro
UnTonemap,ComfyUI-Image-Filters,UnTonemap,Reverse Tonemapping,"The UnTonemap node is designed to reverse the effects of tonemapping on images, converting them back from a tonemapped representation to their original linear or sRGB color space. This process is essential for restoring the original dynamic range and color fidelity of images that have undergone tonemapping.",Reverse tonemapping effects on images.,"['Image', 'Image Transformation and Manipulation']",photo-film
PrintSigmas,ComfyUI-Image-Filters,PrintSigmas,Sigma Value Printer,"The `PrintSigmas` node is designed for utility purposes within a computational graph, specifically to print and return the values of sigma parameters. This functionality aids in debugging and monitoring the flow of sigma values through the graph, providing a simple yet effective means of outputting these values for inspection.",Print and return sigma parameters for debugging.,[],file-waveform
BatchAverageUnJittered,ComfyUI-Image-Filters,Batch Average Un-Jittered,Batch Image Stabilizer,"This node is designed to process a batch of images by applying an averaging or median operation to reduce jittering effects. It operates on sub-batches of images, applying the specified operation to create a smoother, more stable output image.",Reduce jitter in images using averaging or median.,"['Data', 'Batch and Pipeline Processing', 'Batch']",file-medical
GuidedFilterAlpha,ComfyUI-Image-Filters,(DEPRECATED) Guided Filter Alpha,Alpha-Guided Edge Smoother,"The GuidedFilterAlpha node applies a guided filter to an image using a specified alpha mask. This process smooths the image while preserving edge details, guided by the alpha mask. It's designed for enhancing images or compositing tasks where maintaining edge integrity is crucial.",Apply guided filter to images using alpha mask.,"['Image', 'Visual Effects']",file-image
AdainImage,ComfyUI-Image-Filters,AdaIN (Image),Style Transfer Adjuster,"The AdainImage node applies the Adaptive Instance Normalization (AdaIN) technique to a batch of images, using a reference image to adjust the style of the input images. This process involves normalizing the input images based on the statistical properties (mean and standard deviation) of the reference image, allowing for style transfer at a given intensity level.",Apply Adaptive Instance Normalization for style transfer.,"['Image', 'Image Transformation and Manipulation']",camera-rotate
BatchAverageImage,ComfyUI-Image-Filters,Batch Average Image,Batch Image Averager,"The BatchAverageImage node applies statistical averaging operations, such as mean or median, across a batch of images. This process is used to create a single representative image from a collection, either by calculating the mean or median pixel values across all images in the batch.",Apply statistical averaging to batch of images.,"['Image', 'Image Transformation and Manipulation']",camera-rotate
SharpenFilterLatent,ComfyUI-Image-Filters,Sharpen Filter (Latent),Latent Image Sharpener,"The SharpenFilterLatent node applies a sharpening filter to latent representations of images, enhancing their details by adjusting the contrast of edges within the latent space. This process involves blurring the latent image and then combining it with the original to accentuate edges, controlled by a specified factor and filter size.",Enhance image details in latent space.,"['Diffusion', 'Style']",file-image
OffsetLatentImage,ComfyUI-Image-Filters,Offset Latent Image,Latent Space Tuner,"The OffsetLatentImage node is designed to manipulate the latent space representation of images by applying specified offsets to each channel. This operation allows for the adjustment and fine-tuning of the generated image's characteristics at a low level, offering a means to explore variations in the image generation process.",Manipulate image latent space by applying channel offsets.,"['Diffusion', 'Latent']",vector-square
LoraInfo,lora-info,Lora Info,LoRa Configuration Details,"The LoraInfo node is designed to retrieve and provide detailed information about a specific LoRa (Low-Power, Long-Range) configuration, including its output characteristics, trigger words, example prompts, and the base model it is associated with. This node serves as a bridge to access pre-stored or dynamically generated LoRa metadata, facilitating the integration and utilization of LoRa configurations within applications.",Retrieve detailed LoRa configuration information.,"['Model', 'Loading', 'LoRA']",file-waveform
ImageFromURL,lora-info,Image From URL,Fetch Image From URL,"The ImageFromURL node is designed to fetch and process an image from a given URL, converting it into a tensor format suitable for further image processing or machine learning tasks.",Fetch and process images from URLs.,"['Input', 'Image']",laptop-file
PortraitMaster,comfyui-portrait-master,Portrait Master v.2.9,Portrait Creator,"The PortraitMaster node is designed to dynamically generate detailed and customizable prompts for portrait creation, utilizing a wide range of parameters to fine-tune both the desired and undesired aspects of the final portrait. It allows for the manipulation of facial features, hair styles, expressions, and photorealism settings to craft comprehensive positive and negative prompts that guide the AI in generating more precise and realistic portraits.",Generate customizable prompts for AI portrait creation.,"['Facial', 'Face Enhancements']",image-portrait
Separate Mask Components,masquerade-nodes-comfyui,Separate Mask Components,Mask Component Separator,"This node is designed to process a given mask by separating it into multiple contiguous components, effectively breaking down a complex mask into simpler, individual parts. It returns these separated components along with a mapping that can be utilized in subsequent operations, particularly useful in batch processing scenarios.",Separate mask into multiple contiguous components.,"['Segmentation', 'Masks', 'Mask']",section
Create QR Code,masquerade-nodes-comfyui,Create QR Code,Generate QR Code,"This node generates a QR code from provided text, allowing customization of size, version, error correction level, box size, and border. It outputs the QR code as an image tensor, suitable for further processing or visualization.",Generate customizable QR codes from text.,"['Image', 'Text']",border-all
Convert Color Space,masquerade-nodes-comfyui,Convert Color Space,Color Space Converter,"The ConvertColorSpace node is designed to transform the color space of an image from one format to another, such as from RGB to HSV or HSL, and vice versa. This node facilitates the manipulation and analysis of images by allowing them to be represented in different color models, which can be more suitable for specific tasks or visual effects.",Transform image color space between formats.,"['Image', 'Color and Channels', 'Color']",photo-film
MasqueradeIncrementer,masquerade-nodes-comfyui,Incrementer,Number Cycler,"The MasqueradeIncrementer node is designed to perform a simple arithmetic operation on a given seed value, incrementing it within a specified maximum value. This node abstracts the concept of modular arithmetic, providing a straightforward way to cycle through a range of numbers starting from a seed value.",Increment seed value within a maximum limit.,"['Math', 'Arithmetic Operations']",dice-five
Create Rect Mask,masquerade-nodes-comfyui,Create Rect Mask,Generate Rectangle Mask,"The Create Rect Mask node is designed to generate rectangular masks based on specified dimensions and origin points. It supports creating masks in either percentage or pixel modes, allowing for flexible mask creation relative to the image size. This node can also adapt the mask size automatically if a reference image is provided, ensuring the mask aligns perfectly with the image dimensions.",Generate rectangular masks with flexible dimensions.,"['Segmentation', 'Masks', 'Mask']",vector-square
Get Image Size,masquerade-nodes-comfyui,Get Image Size,Image Dimensions,"This node is designed to determine the dimensions of an image, specifically its width and height, by analyzing the image's size attributes.",Determine image dimensions by analyzing size attributes.,"['Image', 'Image Size and Aspect', 'ImageSize']",vector-square
Paste By Mask,masquerade-nodes-comfyui,Paste By Mask,Image Mask Paster,"The Paste By Mask node enables the pasting of one image onto another using a specified mask to define the paste location. It supports various resizing behaviors to ensure the pasted image fits the mask area appropriately, and optionally allows for mask mapping to control the pasting process more granularly.",Paste one image onto another using a mask.,"['Image', 'Image Transformation and Manipulation', 'ImageComposite']",image-portrait
Blur,masquerade-nodes-comfyui,Blur,Gaussian Blur Adjuster,"The Blur node applies a Gaussian blur to an image, allowing for the adjustment of the blur's intensity and spread through parameters. This process can soften the image or reduce noise and detail, making it useful for post-processing effects or preparing images for further processing steps.",Apply Gaussian blur to images with adjustable intensity.,"['Image', 'Visual Effects', 'Blur']",file-image
Unary Mask Op,masquerade-nodes-comfyui,Unary Mask Op,Mask Transformer,"The Unary Mask Op node applies a specified unary operation to a given mask image, transforming it according to the operation chosen. This node supports operations such as inverting, averaging, rounding, clamping, and taking the absolute value of the mask, enabling various forms of mask manipulation.",Apply unary operations to mask images.,"['Segmentation', 'Masks']",image-portrait
Combine Masks,masquerade-nodes-comfyui,Combine Masks,Flexible Mask Combiner,"The Combine Masks node is designed to perform various operations on two input masks, such as union, intersection, difference, and others, to produce a single output mask. It allows for flexible manipulation of masks, enabling the creation of complex mask shapes and patterns by combining simpler ones.",Perform operations on masks to create complex shapes.,"['Segmentation', 'Masks', 'Mask']",mask
Image To Mask,masquerade-nodes-comfyui,Image To Mask,Image Converter To Mask,"The Image To Mask node is designed to convert images into masks based on specified criteria. It supports different methods of conversion, allowing for flexibility in how the mask is generated from the image.",Convert images into masks based on criteria.,"['Segmentation', 'Masks', 'ImageMask']",palette
Mask Morphology,masquerade-nodes-comfyui,Mask Morphology,Mask Shape Refiner,"The Mask Morphology node specializes in altering the shape of masks through morphological operations such as dilation, erosion, opening, and closing. These operations enable the refinement or modification of mask boundaries, facilitating more precise control over mask shapes for various image processing tasks.",Alter mask shapes with morphological operations.,"['Segmentation', 'Masks', 'Mask']",shapes
Cut By Mask,masquerade-nodes-comfyui,Cut By Mask,Mask Image Cutter,"The 'Cut By Mask' node is designed to precisely extract or isolate parts of an image based on a specified mask. It allows for the resizing of the cut-out image to specific dimensions, optionally handling multiple image segments in a batch when provided with mask mappings from a 'Separate Mask Components' node.",Extract and resize image parts using a mask.,"['Segmentation', 'Masks']",mask
Change Channel Count,masquerade-nodes-comfyui,Change Channel Count,Adjust Image Channels,"The Change Channel Count node is designed to modify the number of channels in an image tensor. It supports changing an image to a mask, RGB, or RGBA format, depending on the specified kind. This functionality is crucial for image processing tasks where the channel count of an image needs to be adjusted for compatibility with different models or outputs.",Modify image tensor channel count for compatibility.,"['Image', 'Color and Channels']",object-group
Mask By Text,masquerade-nodes-comfyui,Mask By Text,Text-Based Mask Generator,"This node automatically generates masks based on textual prompts, allowing for the creation of image masks that are aligned with the semantic content of the provided text. It utilizes natural language processing to interpret the prompts and generate corresponding masks, facilitating targeted image editing and manipulation.",Generate image masks from textual prompts.,"['Segmentation', 'Masks', 'Mask']",mask
Unary Image Op,masquerade-nodes-comfyui,Unary Image Op,Image Manipulator,"This node applies a specified unary operation on an image, such as inversion, averaging, rounding, clamping, or taking the absolute value. It's designed to manipulate the pixel values of an image according to the chosen operation, enabling various image preprocessing tasks.",Apply unary operations on image pixels.,"['Image', 'Image Transformation and Manipulation']",vector-square
Mix Color By Mask,masquerade-nodes-comfyui,Mix Color By Mask,Selective Color Mixer,"The Mix Color By Mask node blends a specified color into an image based on a provided mask, allowing for selective colorization or recoloring of parts of the image.",Blend color into image using mask.,"['Image', 'Color and Channels']",palette
Mix Images By Mask,masquerade-nodes-comfyui,Mix Images By Mask,Image Blender By Mask,"The Mix Images By Mask node blends two images together based on a provided mask, creating a composite image where parts of each input image are visible according to the mask's values. This node is essential for tasks that require the dynamic combination of images, such as creating effects or merging images in a context-sensitive manner.",Blend two images based on a mask.,"['Image', 'Image Transformation and Manipulation', 'ImageBlend']",mask
Constant Mask,masquerade-nodes-comfyui,Constant Mask,Fixed Value Mask Creator,"The Constant Mask node is designed to create a uniform mask with a specified constant value across all its elements. It can generate masks of explicit dimensions or replicate the dimensions of a provided image, offering flexibility in mask creation for various image processing tasks.",Generate uniform masks with specified value.,"['Segmentation', 'Masks', 'Mask']",mask
Mask To Region,masquerade-nodes-comfyui,Mask To Region,Extract Region From Mask,"The 'Mask To Region' node is designed to transform a given mask into a rectangular region that encompasses the mask, adhering to specified constraints such as padding, aspect ratio, and minimum dimensions. This node facilitates the extraction of meaningful regions from masks for further processing or analysis.",Transform mask into a constrained rectangular region.,"['Segmentation', 'Masks', 'Mask']",vector-square
Make Image Batch,masquerade-nodes-comfyui,Make Image Batch,Batch Image Aggregator,"The Make Image Batch node is designed to aggregate multiple individual images or smaller batches of images into a larger batch. This functionality is crucial for processing multiple images in parallel, enhancing efficiency in batch operations.",Aggregate multiple images into a larger batch.,"['Image', 'Base', 'Image']",photo-film
Prune By Mask,masquerade-nodes-comfyui,Prune By Mask,Mask Filter,"The Prune By Mask node is designed to filter out images from a batch based on the associated mask's average pixel value, ensuring only images with sufficiently defined masks are processed further.",Filter images based on mask pixel values.,"['Segmentation', 'Masks', 'Mask']",file-image
SaveImageExtended,save-image-extended-comfyui,Save Image Extended,Advanced Image Saver (Adv.),"The SaveImageExtended node extends the functionality of image saving in ComfyUI by allowing for enhanced customization and metadata handling. It supports saving images with custom filenames and paths, embedding metadata within the image files, and optionally saving job-related data alongside the images. This node caters to advanced use cases where detailed control over the image output process is desired, including the management of image metadata and the organization of saved images.",Enhance image saving with customization and metadata handling.,"['Output', 'Image', 'ImageSave']",photo-film
IPAdapterAdvanced,ComfyUI_IPAdapter_plus,IPAdapter Advanced,Advanced Image Processor (Adv.),"The IPAdapterAdvanced node is designed to enhance image processing capabilities by applying advanced image processing techniques. It extends the functionality of simpler IP adapters, offering more sophisticated options for image manipulation and enhancement.",Enhance images with advanced processing techniques.,"['Controls', 'IPAdapter', 'IPAdapter']",photo-film
IPAdapterUnifiedLoaderCommunity,ComfyUI_IPAdapter_plus,IPAdapter Unified Loader Community,Community Model Loader,The IPAdapterUnifiedLoaderCommunity node is designed to facilitate the loading of community-specific models into the IPAdapter framework. It allows for the customization and extension of model capabilities by incorporating community-driven presets and configurations.,Load community-specific models into IPAdapter framework.,"['Controls', 'IPAdapter', 'IPAdapter']",hard-drive
IPAdapterUnifiedLoaderFaceID,ComfyUI_IPAdapter_plus,IPAdapter Unified Loader FaceID,Unified FaceID Loader,"This node is designed to unify the loading process for FaceID models, accommodating various presets and configurations to ensure compatibility and optimal performance across different model types and computational environments.",Unify loading process for FaceID models.,"['Controls', 'IPAdapter', 'IPAdapter']",id-badge
IPAdapterInsightFaceLoader,ComfyUI_IPAdapter_plus,IPAdapter InsightFace Loader,Face Recognition Loader,"The IPAdapterInsightFaceLoader node is designed to load the InsightFace model based on the specified provider. It facilitates the integration of facial recognition capabilities into the IPAdapter framework, enabling advanced face analysis and processing functionalities.",Load InsightFace model for facial recognition.,"['Controls', 'IPAdapter', 'IPAdapter']",image-portrait
IPAdapterSaveEmbeds,ComfyUI_IPAdapter_plus,IPAdapter Save Embeds,Embedding Saver,"The IPAdapterSaveEmbeds node is designed for saving embedding data to a file, facilitating the persistence of computed embeddings for later use or analysis. It abstracts the process of file handling and serialization of embeddings, ensuring data is efficiently stored in a structured manner.",Save embedding data to a file efficiently.,"['Controls', 'IPAdapter', 'IPAdapter']",file-export
IPAdapterFaceID,ComfyUI_IPAdapter_plus,IPAdapter FaceID,Face Identifier,"The IPAdapterFaceID node is designed to enhance image processing capabilities by integrating face identification features. It leverages advanced IPAdapter functionalities to apply face-specific adjustments and embeddings, aiming to improve the quality and relevance of generated images based on facial recognition.",Enhance image processing with face identification features.,"['Controls', 'IPAdapter', 'IPAdapter']",image-portrait
IPAdapterTiled,ComfyUI_IPAdapter_plus,IPAdapter Tiled,Tiled Image Processor,"The IPAdapterTiled node is designed to apply image processing adaptations in a tiled manner, allowing for detailed and scalable modifications to images. It leverages various image processing techniques and parameters to enhance, modify, or transform images based on the provided inputs and configurations.",Apply tiled image processing adaptations.,"['Controls', 'IPAdapter', 'IPAdapter']",vector-square
IPAdapterMS,ComfyUI_IPAdapter_plus,IPAdapter Mad Scientist,Image Processing Adapter (Adv.),"The IPAdapterMS node is designed for advanced image processing and manipulation, integrating multiple image adaptation techniques. It allows for the customization and combination of embeddings, weights, and image attributes to achieve specific visual outcomes.",Advanced image processing and manipulation.,"['Controls', 'IPAdapter', 'IPAdapter']",photo-film
